Retailer,path,search_term,prd_id,images,url
cottonon,Coats-and-jackets-type/Blazer/Coats,womens blazer coats,2054310-01,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwf01f3d29/2054310/2054310-01-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwf33beef4/2054310/2054310-01-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw0cde63ed/2054310/2054310-01-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw5db0b2f1/2054310/2054310-01-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/blazer-coat/2054310-01.html
cottonon,Coats-and-jackets-type/Blazer/Coats,womens blazer coats,2053939-03,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw4f3307dc/2053939/2053939-03-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwa9f149c1/2053939/2053939-03-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw9519e73d/2053939/2053939-03-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw56f90d90/2053939/2053939-03-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/curve-vegan-leather-coat-jacket/2053939-03.html
cottonon,Coats-and-jackets-type/Blazer/Coats,mens blazer coats,9630405-17,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dwf1e22ad9/9630405/9630405-17-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw60afad57/9630405/9630405-17-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dwd8d52728/9630405/9630405-17-3.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/afl-mens-souvenir-tee/9630405-17.html
cottonon,Coats-and-jackets-type/Blazer/Coats,mens blazer coats,3611318-01,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-men/default/dw11ebf71a/3611318/3611318-01-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-men/default/dwa38b82bb/3611318/3611318-01-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-men/default/dw9fe9533d/3611318/3611318-01-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-men/default/dw402d44a8/3611318/3611318-01-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/slim-fit-jean/3611318-01.html
cottonon,Coats-and-jackets-type/Blazer/Coats,mens blazer coats,9630355-17,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw0fd7ca7a/9630355/9630355-17-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw97edc8e6/9630355/9630355-17-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw09b7dd17/9630355/9630355-17-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw3602b98c/9630355/9630355-17-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/afl-mens-crackle-badge-tee/9630355-17.html
cottonon,Coats-and-jackets-type/Blazer/Coats,mens blazer coats,9630439-17,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw8b4db799/9630439/9630439-17-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw93b8fc5a/9630439/9630439-17-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw9373349a/9630439/9630439-17-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw2fa2ccf6/9630439/9630439-17-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/afl-mens-organic-cotton-sleep-tee/9630439-17.html
cottonon,Coats-and-jackets-type/Blazer/Coats,mens blazer coats,9630435-17,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw123e829a/9630435/9630435-17-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw0e9e6cb9/9630435/9630435-17-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dwcfe063d5/9630435/9630435-17-3.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/afl-mens-distressed-flock-tee/9630435-17.html
cottonon,Coats-and-jackets-type/Blazer/Coats,mens blazer coats,9630231-08,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw669408e2/9630231/9630231-08-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw3e2bfda2/9630231/9630231-08-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dw67294e87/9630231/9630231-08-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-afl/default/dwccb81c83/9630231/9630231-08-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/afl-mens-collegiate-t-shirt/9630231-08.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7341739-04,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw27593e21/7341739/7341739-04-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw9882da48/7341739/7341739-04-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwdc64f76e/7341739/7341739-04-3.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/organic-newborn-cross-over-cardigan/7341739-04.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342222-05,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw7e312b63/7342222/7342222-05-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw0eddd996/7342222/7342222-05-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw05886158/7342222/7342222-05-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw11d6fe05/7342222/7342222-05-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/matilda-cardigan/7342222-05.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342655-01,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwecb73dc6/7342655/7342655-01-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw611d8c15/7342655/7342655-01-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw8d2f399c/7342655/7342655-01-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwe3d44f41/7342655/7342655-01-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/betty-button-through-cardi/7342655-01.html
