Retailer,path,search_term,prd_id,images,url
mollini,boot-shaft/boots/boots,ankle boots,MO12944-TAO-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944TAOLE_4_.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944TAOLE_2_.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944TAOLE_3_.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944TAOLE_5_.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944TAOLE_6_.jpg,https://www.mollini.com.au/charge-dark-tan-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12985-B66-SU,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985B66SU_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985B66SU_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985B66SU_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985B66SU_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985B66SU_6.jpg,https://www.mollini.com.au/myst-black-suede-ankle-boots-bh.html
mollini,boot-shaft/boots/boots,ankle boots,MO13028-RED-EK,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028REDEK_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028REDEK_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028REDEK_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028REDEK_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028REDEK_6.jpg,https://www.mollini.com.au/tellme-red-fabric-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12920-BLA-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12920BLALE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12920BLALE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12920BLALE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12920BLALE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12920BLALE_6.jpg,https://www.mollini.com.au/augie-black-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12949-N58-FT,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12949N58FT_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12949N58FT_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12949N58FT_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12949N58FT_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12949N58FT_6.jpg,https://www.mollini.com.au/deliva-camel-microsuede-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12931-TAN-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931TANLE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931TANLE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931TANLE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931TANLE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931TANLE_6.jpg,https://www.mollini.com.au/bravo-tan-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO13028-P22-EK,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028P22EK_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028P22EK_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028P22EK_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028P22EK_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028P22EK_6.jpg,https://www.mollini.com.au/tellme-fuchsia-fabric-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO13028-TAO-EK,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028TAOEK_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028TAOEK_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028TAOEK_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028TAOEK_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028TAOEK_6.jpg,https://www.mollini.com.au/tellme-dark-tan-fabric-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO13028-H81-EK,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028H81EK_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028H81EK_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028H81EK_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028H81EK_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028H81EK_6.jpg,https://www.mollini.com.au/tellme-olive-fabric-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO13028-BLA-EK,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028BLAEK_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028BLAEK_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028BLAEK_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028BLAEK_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028BLAEK_6.jpg,https://www.mollini.com.au/tellme-black-fabric-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12944-BLA-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944BLALE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944BLALE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944BLALE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944BLALE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944BLALE_6.jpg,https://www.mollini.com.au/charge-black-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO13028-I02-EK,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028I02EK_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028I02EK_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028I02EK_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028I02EK_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO13028I02EK_6.jpg,https://www.mollini.com.au/tellme-mulberry-fabric-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12985-JHP-SU,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985JHPSU_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985JHPSU_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985JHPSU_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985JHPSU_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12985JHPSU_6.jpg,https://www.mollini.com.au/myst-navy-suede-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12931-B66-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931B66LE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931B66LE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931B66LE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931B66LE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12931B66LE_6.jpg,https://www.mollini.com.au/bravo-black-leather-ankle-boots-bh.html
mollini,boot-shaft/boots/boots,ankle boots,MO12958-BLA-16,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12958BLA16_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12958BLA16_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12958BLA16_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12958BLA16_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12958BLA16_6.jpg,https://www.mollini.com.au/goochy-black-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12944-F30-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944F30LE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944F30LE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944F30LE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944F30LE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12944F30LE_6.jpg,https://www.mollini.com.au/charge-old-gold-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12922-BLA-FT,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAFT_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAFT_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAFT_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAFT_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAFT_6.jpg,https://www.mollini.com.au/audry-black-microsuede-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12474-N43-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474N43LE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474N43LE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474N43LE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474N43LE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474N43LE_6.jpg,https://www.mollini.com.au/brink-cafe-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12578-NGV-SU,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12578NGVSU_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12578NGVSU_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12578NGVSU_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12578NGVSU_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12578NGVSU_6.jpg,https://www.mollini.com.au/wander-taupe-suede-ankle-boots.html
